,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
82,high,medium-high,some,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,high,some,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,high
83,medium-high,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
84,medium-high,zero-low,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high
85,low-medium,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero,zero,high,high,high,near,high,medium-high,zero-low,zero-low,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
86,high,high,most,some,low,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,some,low,low,high,no_sites,medium-high,medium-high,low-medium,zero-low,zero-low
87,medium-high,low-medium,most,some,high,low,medium,far,high,medium-high,zero-low,zero-low,most,some,high,low,medium,far,high,low-medium,zero-low,zero-low,medium-high,most,some,high,low,medium,far,high,low-medium,zero-low,zero-low,low-medium,zero,some,high,low,medium,near,medium-high,low-medium,low-medium,high,medium-high
88,low-medium,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
89,zero-low,low-medium,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,some,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
90,low-medium,medium-high,some,some,high,low,high,near,high,medium-high,low-medium,zero-low,zero,some,high,low,high,near,medium-high,zero-low,medium-high,high,medium-high,zero,some,high,low,high,near,medium-high,low-medium,low-medium,high,medium-high,zero,some,high,low,high,near,medium-high,low-medium,low-medium,high,medium-high
91,high,zero-low,most,some,high,low,high,near,high,medium-high,low-medium,zero-low,most,most,high,low,high,near,high,medium-high,zero-low,zero-low,low-medium,some,some,high,high,high,near,high,medium-high,zero-low,zero-low,low-medium,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,low-medium
