,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
4249,low-medium,medium-high,most,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,zero,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,medium-high
4250,zero-low,zero-low,most,most,low,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
4251,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
4252,high,low-medium,some,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,high
4253,low-medium,medium-high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,zero,zero,high,low,high,near,high,medium-high,zero-low,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
4254,high,low-medium,most,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
4255,medium-high,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,some,low,low,low,no_sites,zero-low,medium-high,zero-low,zero-low,high
4256,low-medium,medium-high,most,most,high,low,medium,far,high,medium-high,zero-low,zero-low,zero,some,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,low-medium,zero,some,high,low,medium,near,high,medium-high,zero-low,zero-low,medium-high,zero,zero,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,high
4257,low-medium,low-medium,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,zero-low,most,most,low,low,medium,no_sites,high,low-medium,zero-low,zero-low,zero-low,most,most,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,zero-low
4258,high,medium-high,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
4259,medium-high,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
4260,low-medium,low-medium,some,some,low,low,medium,no_sites,zero-low,medium-high,low-medium,zero-low,most,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,most,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,most,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high
4261,medium-high,low-medium,most,some,high,low,high,near,medium-high,low-medium,low-medium,high,most,some,high,low,high,near,low-medium,low-medium,medium-high,high,zero-low,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,zero-low,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
4262,medium-high,zero-low,most,some,high,low,medium,far,high,medium-high,zero-low,zero-low,most,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,low-medium
4263,low-medium,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
4264,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
4265,medium-high,zero-low,some,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,some,some,high,low,high,near,medium-high,zero-low,medium-high,high,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,high
4266,medium-high,zero-low,most,some,medium,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,medium-high,zero,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,medium-high,zero,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,high
4267,zero-low,zero-low,most,most,high,low,high,near,low-medium,low-medium,low-medium,high,most,most,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
4268,low-medium,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
4269,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
4270,high,low-medium,most,some,low,low,low,no_sites,zero-low,medium-high,low-medium,zero-low,some,some,medium,low,medium,no_sites,zero-low,low-medium,zero-low,zero-low,medium-high,some,some,medium,low,medium,no_sites,zero-low,low-medium,zero-low,zero-low,medium-high,some,some,medium,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,medium-high
4271,low-medium,zero-low,most,most,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,most,most,medium,low,high,no_sites,zero-low,medium-high,low-medium,zero-low,low-medium,zero,some,medium,low,high,no_sites,zero-low,medium-high,zero-low,zero-low,medium-high,some,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
4272,zero-low,zero-low,most,some,low,low,medium,no_sites,zero-low,medium-high,low-medium,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium
4273,low-medium,low-medium,most,some,medium,low,medium,no_sites,high,medium-high,zero-low,zero-low,most,some,medium,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high,most,some,medium,low,medium,no_sites,high,zero-low,low-medium,zero-low,low-medium,most,some,medium,low,medium,no_sites,high,zero-low,low-medium,zero-low,low-medium
4274,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
4275,high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,high
4276,low-medium,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
4277,medium-high,high,some,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,some,some,high,low,high,near,medium-high,zero-low,medium-high,high,medium-high,some,some,high,low,high,near,low-medium,low-medium,low-medium,zero-low,medium-high,some,some,high,low,high,near,medium-high,low-medium,low-medium,high,medium-high
4278,high,medium-high,zero,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,zero,some,medium,low,high,far,high,medium-high,zero-low,zero-low,high,zero,some,medium,low,high,far,high,medium-high,zero-low,zero-low,high,most,most,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,high
4279,low-medium,high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
4280,high,high,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,some,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,high,some,some,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,high
4281,medium-high,high,most,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,most,some,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high
4282,high,zero-low,most,some,high,low,high,far,high,medium-high,zero-low,zero-low,some,some,high,low,high,near,medium-high,medium-high,zero-low,zero-low,low-medium,most,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,low-medium,zero,some,high,low,high,near,medium-high,zero-low,medium-high,high,medium-high
4283,low-medium,medium-high,most,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,high
4284,high,high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
4285,high,high,zero,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,most,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
4286,high,high,some,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,high,some,some,medium,low,high,far,high,medium-high,zero-low,zero-low,low-medium,most,some,medium,low,high,far,high,medium-high,zero-low,zero-low,low-medium
4287,high,high,some,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,some,some,high,low,high,near,medium-high,medium-high,zero-low,zero-low,low-medium,zero,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,medium-high,some,some,high,low,high,near,medium-high,medium-high,zero-low,zero-low,low-medium
4288,high,high,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,most,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,low-medium,zero,some,low,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
4289,zero-low,medium-high,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,low-medium,most,most,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,low-medium
4290,low-medium,high,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
4291,low-medium,low-medium,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
4292,medium-high,high,zero,some,medium,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,most,most,low,low,low,no_sites,zero-low,medium-high,low-medium,zero-low,medium-high,most,most,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high,most,most,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high
4293,medium-high,high,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low,zero,some,high,low,high,near,medium-high,medium-high,zero-low,zero-low,high,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium
4294,medium-high,low-medium,zero,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,zero,some,high,low,high,near,high,medium-high,zero-low,zero-low,high
4295,medium-high,zero-low,most,some,high,low,high,near,high,medium-high,zero-low,zero-low,most,some,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium,most,some,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high
4296,zero-low,zero-low,most,most,high,low,medium,far,medium-high,medium-high,zero-low,zero-low,most,most,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,low-medium,most,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,low-medium,most,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,low-medium
4297,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
4298,high,low-medium,most,some,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero,some,high,low,medium,far,medium-high,medium-high,zero-low,zero-low,high,zero,some,high,low,medium,near,zero-low,medium-high,low-medium,zero-low,high,zero,zero,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high
4299,low-medium,medium-high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,low,low,high,no_sites,zero-low,medium-high,zero-low,zero-low,medium-high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
4300,low-medium,low-medium,most,some,low,low,low,no_sites,low-medium,low-medium,low-medium,zero-low,zero,some,medium,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,zero,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high,zero,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,medium-high
4301,zero-low,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,most,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,zero,some,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,some,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high
4302,zero-low,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,some,high,low,high,near,low-medium,medium-high,low-medium,zero-low,low-medium,most,some,high,low,high,near,zero-low,low-medium,low-medium,zero-low,zero-low,most,some,high,low,high,near,zero-low,medium-high,low-medium,zero-low,zero-low
4303,low-medium,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,low-medium
4304,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
4305,zero-low,zero-low,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high
4306,low-medium,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero,zero,medium,low,high,near,medium-high,medium-high,zero-low,zero-low,high,some,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,high,zero,zero,high,low,high,far,high,medium-high,zero-low,zero-low,high
4307,high,low-medium,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
4308,medium-high,zero-low,zero,most,high,low,medium,near,medium-high,low-medium,low-medium,low-medium,zero,most,high,low,medium,near,zero-low,low-medium,low-medium,high,low-medium,most,zero,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,zero,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high
4309,high,low-medium,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,most,some,high,low,medium,near,zero-low,medium-high,low-medium,zero-low,low-medium,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,zero,zero,high,low,medium,far,high,medium-high,zero-low,zero-low,high
4310,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,low-medium,zero-low,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,medium-high
4311,medium-high,zero-low,some,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,some,low,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
4312,high,medium-high,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,high,low,high,near,zero-low,medium-high,zero-low,zero-low,high,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
4313,low-medium,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,zero,medium,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium
4314,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
4315,high,high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero,some,low,low,low,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,zero-low
4316,zero-low,zero-low,most,some,low,low,high,no_sites,high,medium-high,zero-low,zero-low,most,most,low,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,low-medium,most,most,low,low,high,no_sites,medium-high,low-medium,low-medium,zero-low,low-medium,most,most,low,low,high,no_sites,medium-high,medium-high,low-medium,zero-low,low-medium
4317,medium-high,medium-high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,low-medium,zero,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,low-medium
4318,high,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,high,some,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,high,some,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,high
4319,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,low,low,medium,no_sites,medium-high,medium-high,zero-low,zero-low,medium-high,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
4320,high,medium-high,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,medium,low,high,far,low-medium,zero-low,low-medium,zero-low,high,most,some,medium,low,high,far,low-medium,zero-low,low-medium,zero-low,medium-high,zero,some,low,low,medium,no_sites,high,low-medium,low-medium,zero-low,high
4321,low-medium,medium-high,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium,most,most,high,low,high,near,low-medium,low-medium,low-medium,high,low-medium,most,most,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium
4322,zero-low,low-medium,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,zero,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,low-medium,zero,zero,low,low,medium,no_sites,medium-high,low-medium,low-medium,zero-low,medium-high
4323,zero-low,medium-high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
4324,low-medium,medium-high,most,some,high,low,high,near,low-medium,low-medium,low-medium,high,most,some,high,low,high,near,zero-low,low-medium,medium-high,low-medium,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low,most,some,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low
4325,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high
4326,low-medium,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
4327,medium-high,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,zero,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high
4328,high,low-medium,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,high,zero,some,low,low,low,no_sites,high,low-medium,low-medium,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high
4329,high,zero-low,some,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,some,high,low,high,far,zero-low,low-medium,low-medium,zero-low,high,zero,some,high,low,high,near,medium-high,low-medium,low-medium,high,high,most,some,high,low,high,far,zero-low,low-medium,low-medium,zero-low,high
4330,high,high,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,low-medium,zero,some,high,low,high,near,medium-high,zero-low,medium-high,high,high,zero,some,high,low,high,near,medium-high,zero-low,medium-high,high,high
4331,medium-high,low-medium,some,some,high,low,high,near,low-medium,low-medium,low-medium,high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high
